物理;ぶつり;physics。 natural law
怒り;いかり;anger or rage
管;かん;pipe or tube
兵士;へいし;soldier
爆発;ばくはつ;explosion or eruption
爆弾;ばくだん;bomb
起こす;おこす;bring about or cause
暴れる;あばれる;act violently or rage about 
暴落;ぼうらく;slump or crash
説く;とく;explain or preach
暴力;ぼうりょく;violence or force
乱暴;らんぼう;violence
悲しみ;かなしみ;grief or sadness
改良;かいりょう;improvement or reform
争い;あらそい;conflict or battle
絶対;ぜったい;absolutely
気絶;きぜつ;fainting
絶えず;たえず;constantly or always
笑い;わらい;laughter
肉体;にくたい;body or flesh
滅びる;ほろびる;go to ruin or fall
設置;せっち;establishment
核;かく;core or atomic nucleus
防衛;ぼうえい;defense or protection
防止;ぼうし;prevention or determent
防火;ぼうか;fire prevention or fireproof
天災;てんさい;natural disaster
妨害;ぼうがい;hindrance or obstruction
嫌う;きらう;dislike
嫌がる;いやがる;dislike or hate
機嫌;きげん;mood or health
好き嫌い;すききらい;likes and dislikes or taste
徹夜;てつや;staying up all night
生物;せいぶつ;living creature or lifeform
徹底的;てっていてき;thorough or exhaustive
到底;とうてい;after all or in the long run
抗議;こうぎ;protest or remonstrance
抵抗;ていこう;resistance or opposition
グリーン;グリーン;green
素敵;すてき;lovely or nice
男性;だんせい;male or man
デザイン;デザイン;design
破る;やぶる;defeat
ドレス;ドレス;dress
横顔;よこがお;profile or face seen from side
敵;てき;enemy or foe
脅かす;おどかす;threaten or intimidate
権威;けんい;authority or power
威張る;いばる;put on airs or be arrogant
情勢;じょうせい;state of things or situation
勢い;いきおい;vigor or momentum
方々;かたがた;people
見物人;けんぶつにん;spectator or sightseer
態勢;たいせい;state or preparedness
映す;うつす;reflect or project
書道;しょどう;Japanese calligraphy
受け身;うけみ;passiveness or passive voice
現す;あらわす;show or reveal
常に;つねに;always or at all times
死;し;death
恐れる;おそれる;fear or apprehend
恐らく;おそらく;probably
顔付き;かおつき;face or expression
怖がる;こわがる;be afraid of or fear
巨大;きょだい;huge or gigantic
拒否;きょひ;denial or rejection
系列;けいれつ;affiliation
系統;けいとう;system or lineage
体系;たいけい;system or organization
理系;りけい;science
文系;ぶんけい;liberal arts or humanities
子孫;しそん;descendant or offspring
絹;きぬ;silk or silk fabrics
綿;めん;cotton
維持;いじ;maintenance or upkeep
紳士;しんし;gentleman
繁栄;はんえい;prosperity or thriving
偉大;いだい;great or mighty
発明;はつめい;invention
日韓;にっかん;Japan and Korea
刀;かたな;sword or blade
かみそり;かみそり;razor
耐える;たえる;withstand or endure
矢印;やじるし;arrow
孤独;こどく;solitary or lonely
爪切り;つめきり;nail clipper
ざらざら;ざらざら;rough or gritty
散らばる;ちらばる;be scattered
枠;わく;frame or limits
水平;すいへい;horizontal or level
振動;しんどう;vibration
端;はし;end or edge
固定;こてい;fixing or stability
先端;せんたん;edge or vanguard
棒;ぼう;rod or stick
細長い;ほそながい;long and thin or slender
事柄;ことがら;matter or affair
柄;がら;pattern or design
人柄;ひとがら;character or personality
武士;ぶし;samurai or warrior
重み;おもみ;weight or importance
枝;えだ;branch or twig
草木;くさき;plants and trees
木枯らし;こがらし;cold wintry wind
詩;し;poetry
詩人;しじん;poet
着替え;きがえ;change of clothes
パイプ;パイプ;pipe
詰める;つめる;stuff or fill
詰まる;つまる;be stuffed or be stopped up
無理やり;むりやり;by force or against one's will
譲る;ゆずる;transfer or concede
年配;ねんぱい;age or elderly age
欠く;かく;lack
誠実;せいじつ;sincerity or honesty
誠に;まことに;truly or very
盛ん;さかん;prosperous or active
登場;とうじょう;appearance on stage or appearance
盛り上げる;もりあげる;build up excitement
地方;ちほう;district or region
盛り上がる;もりあがる;become lively or get fired up
盛る;もる;heap up or fill
謙遜;けんそん;humility or modesty
兼ねる;かねる;serve two functions or combine
公式;こうしき;formal or official
通す;とおす;let pass or run through
針;はり;needle or needle-shaped object
ペンチ;ペンチ;pliers
確かめる;たしかめる;make sure of or confirm
名人;めいじん;master or master hand
釣り;つり;angling
逃がす;にがす;let go
釣り合い;つりあい;balance or proportion
釣り合う;つりあう;balance or match
鈍い;にぶい;dull or sluggish
鈍感;どんかん;thick-headedness
鎖;くさり;chain or tether
申す;もうす;speak humbly or state humbly
作製;さくせい;manufacture or production
鑑賞;かんしょう;viewing or enjoyment (of art)
印鑑;いんかん;personal seal
鐘;かね;bell or gong
観賞;かんしょう;ornamental
アルミニウム;アルミニウム;aluminum
鉄;てつ;iron
出前;でまえ;home delivery of food
谷;たに;valley or ravine
余裕;よゆう;room or leeway
海水浴;かいすいよく;sea bathing
入浴;にゅうよく;bathing
赤道;せきどう;equator
沿う;そう;lie along or follow along
砂浜;すなはま;sandy beach or sands
浜;はま;beach or seashore
はだし;はだし;barefoot or bare feet
浮かぶ;うかぶ;float
沖;おき;offshore
湾;わん;bay or gulf
泉;いずみ;spring or fountain
温泉;おんせん;hot spring
天然;てんねん;nature
上流;じょうりゅう;upstream
下流;かりゅう;downstream
広場;ひろば;square or open space
慣らす;ならす;accustom
潜る;もぐる;dive into
冷淡;れいたん;cool or indifferent
濁る;にごる;get cloudy
澄む;すむ;clear or become clear
あふれる;あふれる;over flow or flood
ポット;ポット;pot or thermos
湯気;ゆげ;steam or vapor
喜び;よろこび;joy or happiness
湿る;しめる;get damp or get wet
多量;たりょう;large quantity or great deal
漏れる;もれる;leak or be disclosed
漏らす;もらす;give away or let leak
底;そこ;bottom or depths
大部分;だいぶぶん;most or greater part
濡らす;ぬらす;wet or moisten
溝;みぞ;ditch or groove
ねぎ;ねぎ;Welsh onion or green onion
危機;きき;crisis or emergency
叫び;さけび;shout or cry
叫ぶ;さけぶ;shout or cry out
吐く;はく;holler or spew
嘆く;なげく;sigh or grieve
喫煙;きつえん;smoking
痛む;いたむ;feel pain or hurt
音;ね;sound or note
予防;よぼう;prevention or protection
虫歯;むしば;decayed tooth or cavity
虫;むし;insect or worm
忠実;ちゅうじつ;faithfulness or devotion
忠告;ちゅうこく;advice or admonishment
いけない;いけない;wrong or must not
懸ける;かける;stake
一まず;ひとまず;first of all
恩;おん;debt of gratitude or kindness
恵まれる;めぐまれる;be blessed or be privileged
天;てん;sky or Heaven
道徳;どうとく;morality or morals
知り合い;しりあい;acquaintance
市街;しがい;the streets or downtown
問屋;とんや;wholesale store or wholesaler
直径;ちょっけい;diameter
半径;はんけい;radius
和室;わしつ;Japanese style room
漏る;もる;leak or be leaky
丼;どんぶり;bowl
小量;しょうりょう;small amount
転がす;ころがす;roll or roll over
粉;こな;powder or flour
粒;つぶ;grain or drop
小麦;こむぎ;wheat
小麦粉;こむぎこ;flour
大麦;おおむぎ;barley
量る;はかる;measure or weigh
一帯;いったい;area or vicinity
